BGC,rSMR_0,rSMR_1,rSMR_2,rSMR_3,rSMR_4,rSMR_5,rSMR_6,rSMR_7
BAFAun,3,4,4.5,5,5.5,6.5,8,8
BGdh_OR,0,0,0,0,0.5,2,4,6.5
BGdw_OR,0,0,0.5,1,1.5,3,5,7
BGdw_WA,0,0,0,0,1,2.5,4.5,7
BGmk_MT,0,0,0.5,1,1.5,3,5,7
BGmk_NV,0,0,1,1.5,2,4,5.5,7.5
BGmm_MT,0,0,0,0.5,1,2.5,4.5,7
BGmw_OR,0,0,0.5,1.5,2,3.5,5.5,7.5
BGmw_WA,0,0,0,0.5,1,2.5,4.5,7
BGwm_WA,0,0,1,1.5,2,4,5.5,7.5
BGxh_WA,0,0,0,0,0.5,2,4,6.5
BGxh1,0,0,0,0.5,1,2.5,4.5,7
BGxh2,0,0,0,0.5,1.5,3,5,7
BGxh3,0,0,0.5,1,2,3.5,5.5,7.5
BGxw1,0,0,0.5,1,2,3.5,5.5,7.5
BGxw2,0,0,1,1.5,2,4,5.5,7.5
BGxx_WY,0,0,0,0,0.5,2,4,6.5
BGxxx_WY,0,0,0,0,0.5,2,4,6.5
BSJPap,0.5,1,2,2.5,3,5,6,8
BSJPku,0.5,1,2,2.5,3,5,6,8
BSJPpa,0.5,1,1.5,2.5,3,4.5,6,8
BWBScmC,0.5,1.5,2,2.5,3,5,6,8
BWBScmE,0.5,1.5,2,2.5,3,5,6,8
BWBScmNW,0.5,1,1.5,2.5,3,4.5,6,8
BWBScmW,1,1.5,2.5,3,3.5,5,6,8
BWBSdk,1.5,2,3,3.5,4,5.5,6.5,8
BWBSdmN,0.5,1,1.5,2.5,3,4.5,6,8
BWBSdmS,0.5,1,2,2.5,3,5,6,8
BWBSlbE,1,1.5,2,2.5,3.5,5,6,8
BWBSlbN,0.5,1.5,2,2.5,3,5,6,8
BWBSlbW,0.5,1.5,2,2.5,3,5,6,8
BWBSlf,1.5,2,2.5,3,4,5.5,6.5,8
BWBSmk,1,1.5,2.5,3,3.5,5,6,8
BWBSmw,1,1.5,2,3,3.5,5,6,8
BWBSnm,0.5,1,2,2.5,3,5,6,8
BWBSpp,0.5,1,2,2.5,3,5,6,8
BWBSub,1,1.5,2.5,3,3.5,5,6,8
BWBSuf,1.5,2.5,3,3.5,4,5.5,6.5,8
BWBSvk,3,4,4.5,5,6,6.5,8,8
BWBSwk1,2,2.5,3,4,4.5,5.5,7,8
BWBSwk2,1.5,2,2.5,3.5,4,5.5,6.5,8
BWBSwk3,2,2.5,3,3.5,4.5,5.5,7,8
CCHun_CA,0,0,0,0,0.5,2,4,6.5
CDFmm,2,2.5,3,3.5,4.5,5.5,7,8
CDFmm_OR,1,1.5,2,3,3.5,5,6,8
CDFmm_WA,1.5,2.5,3,3.5,4,5.5,6.5,8
CDFxm_CA,0,0,1,1.5,2,4,5.5,7.5
CMAun,3,4,4.5,5,6,6.5,8,8
CMAun_CA,1,1.5,2.5,3,3.5,5,6,8
CMAun_OR,2.5,3,3.5,4,5,6,7,8
CMAun_WA,3,3.5,4,5,5.5,6.5,7.5,8
CMAwh,3.5,4,4.5,5,6,7,8,8
CMXdm_OR,0,0.5,1.5,2,2.5,4.5,5.5,7.5
CMXmm_OR,0.5,1,1.5,2,3,4.5,6,8
CMXwm_OR,0.5,1.5,2,2.5,3,5,6,8
CMXxm_CA,0,0,1,1.5,2,4,5.5,7.5
CRFdh_CA,0,0.5,1.5,2,2.5,4.5,5.5,7.5
CVGdm_CA,0,0,0,0,0,1,3,5.5
CWFdm_OR,0.5,1,1.5,2.5,3,4.5,6,8
CWFds_CA,0.5,1,1.5,2.5,3,4.5,6,8
CWFmm_OR,1,1.5,2.5,3,3.5,5,6,8
CWFwm_OR,1,2,2.5,3,3.5,5,6,8
CWHdm_OC,2,3,3.5,4,4.5,6,7,8
CWHdm_OR,1.5,2,3,3.5,4,5.5,6.5,8
CWHdm_WA,2,3,3.5,4,4.5,6,7,8
CWHdm_WC,2.5,3,3.5,4,5,6,7,8
CWHdm1,2,3,3.5,4,4.5,6,7,8
CWHdm2,2.5,3,4,4.5,5,6,7,8
CWHdm3,2.5,3.5,4,4.5,5,6,7,8
CWHds_WA,2,2.5,3,3.5,4.5,5.5,7,8
CWHds1,2.5,3,3.5,4,5,6,7,8
CWHds2,2,2.5,3,4,4.5,5.5,7,8
CWHmh_OR,2,2.5,3,3.5,4.5,5.5,7,8
CWHmm1,2.5,3.5,4,4.5,5,6,7,8
CWHmm2,2.5,3.5,4,4.5,5,6,7,8
CWHms_OR,2,2.5,3.5,4,4.5,6,7,8
CWHms_WA,2,2.5,3.5,4,4.5,6,7,8
CWHms1,2.5,3.5,4,4.5,5,6,7,8
CWHms2,3,3.5,4,4.5,5.5,6.5,7.5,8
CWHms3,2,3,3.5,4,4.5,6,7,8
CWHvh_WA,2.5,3.5,4,4.5,5,6,7,8
CWHvh1,3,4,4.5,5,6,6.5,8,8
CWHvh2,3,4,4.5,5,6,6.5,8,8
CWHvh3,3,4,4.5,5,6,6.5,8,8
CWHvm_OR,2.5,3,3.5,4,5,6,7,8
CWHvm_WA,2.5,3.5,4,4.5,5,6,7,8
CWHvm1,3,3.5,4.5,5,5.5,6.5,7.5,8
